,body,face,left_arm,right_arm,left_leg,right_leg
58,black,happy,broken,normal,left,right
59,green,x,bicep,up,left,right
60,black,x,t-hand,normal,left,right
61,black,spects,broken,monkey,left,right
62,black,x,bow,up,left,right
63,black,x,normal,trident,left,right
64,black,sad,bicep,monkey,left,right
65,green,sad,bow,normal,left,right
66,red,spects,broken,monkey,left,right
67,green,cyclops,bicep,up,left,right
68,black,happy,t-hand,monkey,left,right
69,black,spects,normal,triangle,left,right
70,black,sad,normal,normal,left,right
71,black,happy,bicep,up,left,right
72,black,happy,bicep,triangle,left,right
73,black,spects,bow,triangle,left,right
74,black,spects,t-hand,monkey,left,right
75,black,spects,normal,trident,left,right
76,black,cyclops,normal,triangle,left,right
77,blue,cyclops,broken,normal,left,right
78,black,spects,bow,normal,left,right
79,black,cyclops,t-hand,monkey,left,right
80,black,x,broken,triangle,left,right
81,black,happy,bow,triangle,left,right
82,blue,happy,broken,normal,left,right
83,black,cyclops,t-hand,normal,left,right
84,black,sad,t-hand,triangle,left,right
85,green,sad,bow,trident,left,right
86,black,cyclops,normal,trident,left,right
87,black,sad,normal,trident,left,right
88,blue,hi,bow,normal,left,right
89,green,happy,bow,up,left,right
90,black,hi,t-hand,up,left,right
91,purple,happy,normal,trident,left,right
92,black,spects,t-hand,trident,left,right
93,green,cyclops,bicep,monkey,left,right
94,yellow,cyclops,broken,up,left,right
95,yellow,happy,t-hand,trident,left,right
96,black,x,t-hand,up,left,right
97,black,happy,broken,up,left,right
98,yellow,cyclops,broken,monkey,left,right
99,blue,cyclops,bicep,triangle,left,right
100,black,hi,normal,monkey,left,right
101,blue,cyclops,t-hand,up,left,right
102,black,sad,bicep,trident,left,right
103,black,spects,bicep,up,left,right
104,purple,spects,t-hand,trident,left,right
105,black,sad,t-hand,normal,left,right
106,black,cyclops,broken,trident,left,right
107,black,x,bicep,trident,left,right
108,yellow,sad,broken,monkey,left,right
109,blue,spects,bicep,normal,left,right
110,yellow,happy,broken,normal,left,right
111,black,happy,bow,monkey,left,right
112,black,happy,normal,normal,left,right
113,red,sad,broken,triangle,left,right
114,yellow,spects,bow,normal,left,right
115,black,cyclops,normal,normal,left,right
116,red,happy,bicep,monkey,left,right
117,black,hi,bow,up,left,right
118,blue,cyclops,bow,triangle,left,right
119,yellow,hi,broken,triangle,left,right
120,black,sad,normal,up,left,right
121,black,spects,bow,monkey,left,right
122,blue,happy,normal,monkey,left,right
123,red,cyclops,normal,normal,left,right
124,black,x,t-hand,triangle,left,right
125,black,hi,t-hand,normal,left,right
126,red,sad,broken,trident,left,right
127,black,hi,bicep,normal,left,right
128,black,spects,t-hand,triangle,left,right
129,black,spects,bicep,trident,left,right
130,green,cyclops,bow,monkey,left,right
131,purple,sad,broken,trident,left,right
132,black,cyclops,bicep,up,left,right
133,green,hi,normal,triangle,left,right
134,black,x,normal,normal,left,right
135,yellow,hi,normal,normal,left,right
136,black,cyclops,bow,up,left,right
137,black,happy,broken,triangle,left,right
138,red,spects,bow,trident,left,right
139,yellow,sad,t-hand,normal,left,right
140,black,sad,t-hand,trident,left,right
141,yellow,sad,bow,normal,left,right
142,black,cyclops,bicep,monkey,left,right
143,green,hi,t-hand,triangle,left,right
144,black,x,normal,monkey,left,right
145,black,sad,bicep,up,left,right
146,yellow,sad,normal,monkey,left,right
147,purple,sad,broken,triangle,left,right
148,red,happy,normal,trident,left,right
149,green,x,broken,up,left,right
150,purple,happy,broken,monkey,left,right
151,blue,sad,normal,triangle,left,right
152,black,cyclops,broken,triangle,left,right
153,black,x,t-hand,trident,left,right
154,green,sad,bow,up,left,right
155,red,cyclops,normal,triangle,left,right
156,black,hi,bicep,monkey,left,right
157,black,hi,t-hand,triangle,left,right
158,black,happy,bow,trident,left,right
159,green,sad,t-hand,monkey,left,right
160,yellow,spects,bicep,trident,left,right
161,green,sad,broken,monkey,left,right
162,black,x,broken,monkey,left,right
163,black,cyclops,bicep,trident,left,right
164,green,cyclops,t-hand,up,left,right
165,black,cyclops,bicep,normal,left,right
166,black,sad,t-hand,up,left,right
167,yellow,spects,bicep,up,left,right
168,black,spects,broken,normal,left,right
169,blue,happy,t-hand,triangle,left,right
170,red,happy,t-hand,trident,left,right
171,black,spects,normal,monkey,left,right
172,yellow,sad,bicep,up,left,right
173,blue,sad,t-hand,up,left,right
174,black,x,bow,monkey,left,right
175,red,spects,normal,monkey,left,right
176,yellow,cyclops,normal,trident,left,right
177,red,x,bow,normal,left,right
178,yellow,happy,bicep,monkey,left,right
179,yellow,cyclops,bicep,triangle,left,right
180,black,happy,t-hand,triangle,left,right
181,purple,sad,broken,up,left,right
182,green,happy,t-hand,trident,left,right
183,black,x,bicep,normal,left,right
184,green,cyclops,normal,trident,left,right
185,black,sad,broken,monkey,left,right
186,green,x,bicep,normal,left,right
187,black,sad,normal,triangle,left,right
188,purple,cyclops,bow,up,left,right
189,black,hi,normal,triangle,left,right
190,blue,x,bow,monkey,left,right
191,black,cyclops,normal,up,left,right
192,green,hi,t-hand,normal,left,right
193,green,spects,t-hand,up,left,right
194,blue,cyclops,broken,monkey,left,right
195,purple,happy,bow,triangle,left,right
196,purple,sad,normal,up,left,right
197,black,hi,bow,monkey,left,right
198,green,spects,t-hand,normal,left,right
199,yellow,sad,bicep,normal,left,right
200,blue,happy,bow,up,left,right
201,red,happy,bow,up,left,right
202,black,cyclops,bow,normal,left,right
203,yellow,x,t-hand,up,left,right
204,yellow,spects,broken,up,left,right
205,black,spects,bicep,normal,left,right
206,purple,spects,normal,monkey,left,right
207,yellow,x,bicep,monkey,left,right
208,yellow,happy,broken,triangle,left,right
209,blue,cyclops,normal,triangle,left,right
210,black,x,bow,normal,left,right
211,blue,sad,t-hand,normal,left,right
212,black,cyclops,bow,monkey,left,right
213,black,hi,bow,trident,left,right
214,black,hi,broken,monkey,left,right
215,green,cyclops,bicep,trident,left,right
216,black,cyclops,t-hand,up,left,right
217,purple,happy,bicep,monkey,left,right
218,red,x,normal,trident,left,right
219,black,x,bow,triangle,left,right
220,purple,sad,broken,normal,left,right
221,red,sad,t-hand,triangle,left,right
222,red,cyclops,bicep,normal,left,right
223,purple,happy,t-hand,normal,left,right
224,black,x,bow,trident,left,right
225,black,hi,broken,triangle,left,right
226,purple,spects,t-hand,up,left,right
227,green,sad,normal,triangle,left,right
228,black,sad,broken,normal,left,right
229,green,happy,broken,normal,left,right
230,yellow,x,bicep,up,left,right
231,purple,happy,bicep,normal,left,right
232,purple,happy,bow,trident,left,right
233,black,x,broken,trident,left,right
234,green,cyclops,t-hand,triangle,left,right
235,purple,hi,normal,monkey,left,right
236,blue,spects,t-hand,normal,left,right
237,green,spects,t-hand,triangle,left,right
238,purple,spects,normal,trident,left,right
239,purple,happy,bow,normal,left,right
240,blue,sad,t-hand,trident,left,right
241,red,happy,t-hand,triangle,left,right
242,red,x,bicep,up,left,right
243,red,x,bicep,trident,left,right
244,green,sad,t-hand,triangle,left,right
245,yellow,spects,bicep,monkey,left,right
246,black,x,broken,up,left,right
247,green,spects,bow,up,left,right
248,black,hi,bicep,trident,left,right
249,yellow,sad,bicep,monkey,left,right
